Date	Wake time 	Bed time	Sleep hours	Meditation	Gratitude	Exercise	Avg Focus %	Deep work 1	Deep work 2	Deep work 3	Deep work 4	Deep work 5	Deep work 6	Total Deep Work (h)
December 1	5:58 AM	10:57 PM	7.6	10	1	1	80	1.50	1.22	0.80	0.50			4.02
December 2	6:00 AM	10:01 PM	7	12	0	1	63	1.33	0.67	0.83				2.83
December 3	6:00 AM	10:44 PM	7.9	14	1	1	80	1.50	1.38	1.07	0.50	0.78		5.23
December 4	5:58 AM	10:01 PM	7.2	16	1	1	73	1.67	1.22	0.80	0.57	0.82		5.08
December 5	5:58 AM	9:44 PM	8.3	5	0	1	71	1.50	2.50	0.50	0.38	0.50	0.32	5.70
December 6	5:55 AM	10:10 PM	8.1	20	1	0	80	1.47	2.17	2.10				5.74
December 7	5:55 AM	10:59 PM	7.8	15	1	1	75	1.00	2.08	1.90				4.98
December 8	5:55 AM	9:20 PM	6.9	3	0	0	63	0.75	0.27	1.03	1.00	0.67	2.17	5.89
December 9	6:05 AM	10:38 PM	8.7	15	1	1	77	1.60	1.55	0.50	0.80	1.77	0.62	6.84
December 10	6:00 AM	10:00 PM	7.2	11	0	0	83	1.50	2.20	2.00				5.70
December 11	6:08 AM	10:59 PM	7.8	3	1	0	80	1.80	1.63	0.55				3.98
December 12	6:18 AM	10:18 PM	7.8	10	1	1	72	2.00	1.33	2.33				5.66
December 13	6:10 AM	10:30 PM	7.6	5	0	0		2.33						2.33
December 14
December 15	8:00 AM	9:54 PM	9.8	5	1	0	78	1.10	0.92	1.00				3.02
December 16	5:55 AM	9:54 PM	8	12	1	0	68	2.37	1.27	0.42				4.06
December 17	6:00 AM	10:04 PM	9.3	13	1	0	58	2.13	1.08	0.88	1.10	0.65	0.55	6.39
December 18	6:00 AM	10:50 PM	7.8	14	1	0	70	1.60	1.50	1.38	0.83			5.31
December 19	6:00 AM	10:40 PM	6.7	13	0	1	62	1.50	1.50	1.50				4.50
December 20	6:00 AM	10:25 PM	6.6	14	0	0	85	1.82	1.40					3.22
December 21	6:00 AM		7	14	0	1
December 22	6:00 AM	9:38 PM	8.3	14	0	0	83	1.55	1.48	1.50	1.48	1.12		7.13
December 23	6:00 AM	10:50 PM	7.2	14	0	0	85	1.55	1.63	0.97				4.15
December 24	6:00 AM	10:57 PM	8.6	14	0	1	87	2.03	1.90	0.90				4.83
December 25
December 26
December 27							83	1.03	1.62	1.32				3.97
December 28	5:58 AM	9:29 PM	8.4	14	1	0	89	1.97	1.50	1.68	1.07			6.22
December 29	5:58 AM	9:53 PM	8.4	14	0	1	86	2.00	1.37	2.07	0.27	0.92		6.63
December 30	6:00 AM	10:35 PM	8	13	0	1	60	1.30	0.33					1.63
December 31	6:00 AM	10:01 PM	7.3	13	0	0		2.58	2.15	1.00	1.17			6.90
Date	Wake time 	Bed time	Sleep hours	Sleepscore	Meditation	Gratitude	Exercise	Avg Focus %	Deep work 1	Deep work 2	Deep work 3	Deep work 4	Deep work 5	Total Deep Work (h)	Timetable
January 1	6:00 AM	9:35 PM	8.18	89%	14	0	0	76	2.00					2.00	19.70
January 2	6:00 AM	9:39 PM	8.37	90%	15	0	0	80	2.00	1.50	1.50	1.63	0.87	7.50	54.50
January 3	6:00 AM	10:03 PM	8.25	94%	15	0	0	76	2.53	0.92				3.45	49.50
January 4	6:00 AM	9:27 PM	7.87	82%	15	0	0	85	2.07	1.00	0.57	2.00		5.64	62.50
January 5	6:00 AM	9:48 PM	8.42	82%	15	0	0
January 6	6:00 AM	9:32 PM	8.1	90%	15	1	1	89	1.78	1.55	1.70			5.03	58.00
January 7	6:00 AM	9:35 PM	8.38	94%	8	1	0	76	2.35	2.07	0.27			4.69	36.75
January 8	6:00 AM	10:03 PM	8.33	96%	14	1	0	76	1.23	0.72	1.85	2.00		5.80	41.25
January 9	6:00 AM	9:36 PM	7.88	92%	14	1	0	74	1.03	1.00	0.58	0.50	0.50	3.61	52.50
January 10	6:00 AM	10:00 PM	8.3	94%	10	1	0	65	1.92	1.33				3.25	68.00
January 11	6:00 AM	10:00 PM	7.88	93%	11	1	0	76.7	1.93	1.50	1.42			4.85	63.00
January 12	6:00 AM	9:11 PM	7.87	87%	5	1	0
January 13	6:00 AM	9:26 PM	8.72	92%	11	1	0	77.5	2.22	1.42				3.64	50.25
January 14	6:00 AM	10:14 PM	8.50	95%	14	1	0	76.25	2.00	1.75	0.50	1.92		6.17	46.75
January 15	6:00 AM	9:33 PM	7.7	90%	11	1	1	73.75	1.50	1.50	1.50	1.00		5.50	96.00
January 16	6:00 AM	9:44 PM	8.38	93%	11	1	1	72.5	1.50	1.50	1.50	1.00		5.50	86.50
January 17	6:00 AM	10:10 PM	8.17	97%	15	1	1	70	1.50	1.50	1.50			4.50	62.25
January 18	6:00 AM	10:14 PM	7.73	94%	12	1	1	57.5	1.50	0.50				2.00	40,25
January 19	6:00 AM	10:44 PM	7.67	91%	12	1	1
January 20	6:00 AM	11:30 PM	7.23	89%	12	0	0	88.3	2.00	1.00	1.33			4.33	52.75
January 21	6:00 AM	11:07 PM	6.43	84%	12	0	0	67.5	2.00	1.08				3.08	34.00
January 22	6:00 AM	9:54 PM	6.83	84%	11	1	0	62.5	2.00	1.50				3.50	43.00
January 23	6:00 AM	10:52 PM	7.98	87%	13	1	1	88.3	2.00	1.50	1.50			5.00	81.00
January 24	6:00 AM	10:57 PM	7.05	86%	13	0	1	76.7	2.00	1.50	1.50			5.00	73.50
January 25	6:00 AM	9:29 PM	6.92	87%	12	0	0	95	2.00					2.00	26.50
January 26	7:00 AM	11:15 PM	9.52	87%	11	0	0
January 27	6:40 AM	10:56 PM	7.38	87%	11	0	0
January 28	6:00 AM	10:58 PM	6.95	85%	6	0	0
January 29	6:00 AM	10:35 PM	6.95	83%	10	1	0
January 30	6:00 AM	10:30 PM	7.25	85%	15	0	0
January 31	6:00 AM	10:55 PM	7.48	87%	6	1	1
Date	Wake time 	Bed time	Sleep hours	Sleepscore	Meditation	Gratitude	Exercise	Avg Focus %	Deep work 1	Deep work 2	Deep work 3	Deep work 4	Deep work 5	Total Deep Work (h)	Timetable
Februari 1	7:20 AM	10:27 PM	8.28	84%	10	1	1
Februari 2	6:00 AM	10:57 PM	7.55	83%	10	1	0	85	1.00					1.00	31.75
Februari 3	6:00 AM	10:56 PM	6.87	87%	15	1	1	66	2.00	1.50				3.50	61.25
Februari 4	6:00 AM	10:45 PM	7	61%	10	1	1	68	2.00	1.58				3.58	59.00
Februari 5	6:00 AM	10:04 PM	7.18	74%	15	1	1	78	2.00	1.50	2.08			5.58	81.50
Februari 6	6:00 AM	10:09 PM	7.83	81%	15	1	1	82	2.00	1.50	0.75			4.25	63.50
Februari 7	6:00 AM	11:59 PM	7.73	83%	10	0	0	70	2.00					2.00	59.40
Februari 8	6:30 AM	9:11 PM	6.42	59%	10	1	0	70	1.50	1.00				2.50	59.40
Februari 9	6:00 AM	9:17 PM	8.52	83%	6.5	1	1
Februari 10	6:00 AM	9:16 PM	8.65	92%	17	1	1	75	2.00	1.50				3.50	80.00
Februari 11	5:40 AM	10:06 PM	8.32	90%	12	1	1	76.67	2.00	1.50	1.13			4.63	59.25
Februari 12	5:00 AM	9:21 PM	6.85	83%	7	0	0	70	2.00	1.50				3.50	39.25
Februari 13	5:00 AM	9:12 PM	7.6	87%	12	1	0	71.67	2.00	1.35	2.13			5.48	71.00
Februari 14	5:00 AM	8:47 PM	7.73	89%	14	1	1	58.33	2.00	1.50	0.83			4.33	83.00
Februari 15	5:30 AM	9:51 PM	8.58	89%	7	0	0	70	2.00	1.50	1.05			4.55	67.25
Februari 16	5:10 AM	8:54 PM	7.08	87%	8	1	1
Februari 17	5:00 AM	10:25 PM	8.05	87%	14	0	0	80	2.00	1.50	1.50			5.00	62.25
Februari 18	5:00 AM	8:33 PM	6.53	81%	12	1	1	70	2.00	1.50	1.50			5.00	84.00
Februari 19	5:00 AM	8:45 PM	8.4	85%	12	1	0	71.67	1.50	1.50	1.28			4.28	80.00
Februari 20
Februari 21
Februari 22
Februari 23
Februari 24
Februari 25
Februari 26
Februari 27
Februari 28
Date	Wake time 	Bed time	Sleep hours	Sleepscore	Meditation	Gratitude	Exercise	Avg Focus %	Deep work 1	Deep work 2	Deep work 3	Deep work 4	Deep work 5	Total Deep Work (h)	Timetable
March 1	6:00 AM	9:56 PM	7.93	89%	10	0	1
March 2	6:00 AM	9:56 PM	8.03	91%	10	1	0	81.67	2.00	1.33	1			4.33	59.25
March 3	6:00 AM	9:40 PM	7.98	90%	15	1	1	85	2.00	1.50	1			4.50	64.50
March 4	6:00 AM	9:30 PM	8.3	91%	10	1	1	80	2.00	1.50	1			4.50	92.25
March 5	6:00 AM	10:40 PM	8.28	91%	14	1	0	88.33	2.00	1.50	1.63			5.13	63.50
March 6	6:00 AM	9:25 PM	7.27	86%	13	1	1	85	2.13	Infosessies				2.13	56.00
March 7	6:00 AM	10:16 PM	8.52	93%	15	0	0	80	2.00	1.50	1.17			4.67	73.00
March 8	6:45 AM	9:10 PM	8.47	89%	7.5	0	1
March 9	6:00 AM	10:00 PM	8.78	89%	13	0	0	87.50	2.00	1.50	1.13	1.13		5.76	75.75
March 10	6:00 AM	10:04 PM	7.95	93%	11	1	0	65	2.00			Topper 		2.00	42.00
March 11	6:00 AM	10:33 PM	7.88	93%	7.5	1	1	95	2.00					2.00	53.25
March 12	6:00 AM	9:53 PM	7.22	88%	7.5	1	0	80	2.00	1.25				3.25	71.25
March 13	6:00 AM	9:35 PM	8.07	91%	7.5	1	1	87.5	2.00	1.50	1.50	0.25		5.25	87.00
March 14	6:00 AM	11:26 PM	8.38	92%	9.5	0	1	85	2.00	1.33				3.33	57.75
March 15	9:09 AM	10:01 PM	9.72	79%	1	0	0
March 16	6:15 AM	10:03 PM	7.93	83%	10	0	0	80.00	2.00	1.50	1.33			4.83	67.00
March 17	6:15 AM	9:35 PM	8.18	89%	12	1	1	83.33	2.00	1.25	1.00			4.25	67.25
March 18	6:00 AM	9:45 PM	8.28	87%	12.5	0	0	81.67	2.00	1.50	1.62			5.12	87.75
March 19	6:00 AM	9:21 PM	8.18	93%	13	1	0	81.67	2.00	1.50	1.53			5.03	80.50
March 20	6:00 AM	9:50 PM	8.57	97%	14	1	0	86.67	2.00	1.37	1.57			4.94	74.00
March 21	6:00 AM	11:01 PM	8.12	93%	11.5	0	1	67.5	2.00	1.62				3.62	63.25
March 22	6:30 AM	9:32 PM	7.45	83%	8.5	1	0
March 23	6:00 AM	9:41 PM	8.4	89%	8.5	1	0	87.5	2.00	1.50	1.22	0.6		5.32	91.00
March 24	6:00 AM	9:44 PM	8.25	92%	8.5	0	1	80	2.00	1.50	1.25			4.75	67.00
March 25	6:00 AM	10:39 PM	8.2	91%	8	0	0	81.67	2.00	4.05	2.05			8.10	69.25
March 26	6:00 AM	10:19 PM	7.28	87%	12	0	1	76.67	2.00	1.97	0.62			4.59	63.00
March 27	6:00 AM	12:18 PM	7.6	89%	11	0	0	83.33	2.00	1.47	1.10			4.57	56.50
March 28	6:45 AM	8:49 PM	6.78	79%	12.5	0	0
March 29	8:50 AM	9:32 PM	11.03	83%	7.5	1	0
March 30	6:00 AM	9:20 PM	8.45	82%	8.5	1	0	80	2.00	0.58	1.50			4.08	80.75
March 31	6:00 AM	9:47 PM	8.58	83%	11	1	1	86.7	2.00	1.25	1.25			4.50	89.50
Date	Wake time 	Bed time	Sleep hours	Sleepscore	Meditation	Gratitude	Exercise	Avg Focus %	Deep work 1	Deep work 2	Deep work 3	Deep work 4	Deep work 5	Total Deep Work (h)	Timetable
April 1	6:00 AM	11:11 PM	8.17	89%	10	0	1	90	2.00	1.32	1.30			4.62	52.75
April 2
April 3
April 4
April 5	8:04 AM	10:48 PM	9.52	95%	3	1	1
April 6	6:00 AM	11:18 PM	7.12	83%	8	1	0	88.33	2.00	1.50	2.57			6.07	74.25
April 7	6:00 AM	10:41 PM	6.87	82%	7.5	1	0	78.33	2.00	1.35	1.00			4.35	71.75
April 8	6:00 AM	10:09 PM	7.27	83%	10	1	1	83.33	1.98	1.50	1.50			4.98	75.00
April 9	8:00 AM	10:16 PM	9.85	84%	7.5	1	0	70.00	1.40	2.05				3.45	38.00
April 10	6:40 AM	9:32 PM	8.33	89%	7.5	1	1	81.67	2.00	1.30	1.33			4.63	69.25
April 11	6:00 AM	10:29 PM	8.4	87%	10	1	0	85	2.00	1.50	1.15			4.65	70.50
April 12	6:00 AM	9:36 PM	7.4	87%	10	1	1
April 13	6:00 AM	10:49 PM	8.27	89%	10	1	1	78.33	2.00	1.50	1.00			4.50	71.25
April 14	8:30 AM	10:54 PM	9.73	83%	1	0	1	80	2.00	1.33	1.00			4.33	74.80
April 15	6:10 AM	9:33 PM	7.02	85%	10	1	1	80	2.00	1.50	1.02			4.52	81.00
April 16	6:00 AM	9:38 PM	8.35	85%	11	1	0	78.33	2.00	1.25	1.63			4.88	67.50
April 17	6:00 AM	10:53 PM	8.3	90%	7.5	1	0	81.67	2.00	1.50	1.60			5.10	79.50
April 18	6:00 AM	12:27 AM	7	86%	7.5	0	0
April 19	8:19 AM	9:40 PM	7.87	78%	10	0	1
April 20	6:00 AM	9:43 PM	8.27	81%	13	1	1	86.67	2.00	1.50	1.10			4.60	91.50
April 21	6:00 AM	10:54 PM	8.22	87%	10	0	1	81.67	2.00	1.50	1.30			4.80	80.25
April 22
April 23
April 24								Bought my Kia Rio today. So fucking grateful. Life is good, life is great.
April 25
April 26
April 27
April 28
April 29
April 30
